in domain,ood,partition,mean,std
imdb,counterfactual-imdb,common,119.41666666666667,52.34406857659725
imdb,counterfactual-imdb,msp,138.78181818181818,69.84049741541574
imdb,counterfactual-imdb,pps,133.5,59.319187916271005
imdb,rte,msp,66.21428571428571,41.020029950535836
imdb,rte,pps,51.214285714285715,31.645095795590315
imdb,snli,common,21.181818181818183,7.807921385595296
imdb,snli,msp,21.363449691991786,8.62891461882705
imdb,snli,pps,26.48670756646217,8.826673853145317
imdb,sst2,common,24.0,4.0
imdb,sst2,msp,18.0625,7.922762226037242
imdb,sst2,pps,16.875,8.914468124093768
sst2,counterfactual-imdb,common,110.18181818181819,41.78712285338195
sst2,counterfactual-imdb,msp,129.4144144144144,59.180996407549074
sst2,counterfactual-imdb,pps,148.74774774774775,60.585397050694766
sst2,imdb,common,227.05882352941177,162.15776447110136
sst2,imdb,msp,224.17045454545453,178.60861690837555
sst2,imdb,pps,219.22474460839953,152.21452229041583
sst2,rte,common,42.0,
sst2,rte,msp,51.76923076923077,19.092554596639
sst2,rte,pps,36.76923076923077,23.76325541024015
sst2,snli,common,27.9375,8.031942279062616
sst2,snli,msp,19.02991452991453,6.476705284457186
sst2,snli,pps,28.44871794871795,8.928908998960145
